# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  6.616727646
  .1050000000  5.423839320
  .1100000000  4.442389229
  .1150000000  3.646353074
  .1200000000  3.006498548
  .1250000000  2.505539039
  .1300000000  2.104473866
  .1350000000  1.789190983
  .1400000000  1.537327474
  .1450000000  1.337988729
  .1500000000  1.174969686
  .1550000000  1.043398856
  .1600000000  .9341655347
  .1650000000  .8416154732
  .1700000000  .7622073828
  .1750000000  .6935739462
  .1800000000  .6332811937
  .1850000000  .5794024627
  .1900000000  .5308276402
  .1950000000  .4867198981
  .2000000000  .4464474874
  .2050000000  .4095295196
  .2100000000  .3755939258
  .2150000000  .3443457224
  .2200000000  .3155437547
  .2250000000  .2889842160
  .2300000000  .2644894132
  .2350000000  .2421396372
  .2400000000  .2215958809
  .2450000000  .2026966493
  .2500000000  .1853116692
  .2550000000  .1693192573
  .2600000000  .1547472749
  .2650000000  .1415869321
  .2700000000  .1294932136
  .2750000000  .1183722891
  .2800000000  .1083133321
  .2850000000  .0992817291
  .2900000000  .0909617811
  .2950000000  .0833324652
  .3000000000  .0766391746
  .3050000000  .0704481541
  .3100000000  .0647712372
  .3150000000  .0598190742
  .3200000000  .0552123348
  .3250000000  .0510697445
  .3300000000  .0473902325
  .3350000000  .0439466905
  .3400000000  .0409827003
  .3450000000  .0382253441
  .3500000000  .0357546716
  .3550000000  .0335537188
  .3600000000  .0315037856
  .3650000000  .0297504076
  .3700000000  .0280715243
  .3750000000  .0266616711
  .3800000000  .0253107913
  .3850000000  .0241584200
  .3900000000  .0230700729
  .3950000000  .0221332445
  .4000000000  .0212545858
  .4050000000  .0204975698
  .4100000000  .0197863809
  .4150000000  .0191789963
  .4200000000  .0186018590
  .4250000000  .0181188660
  .4300000000  .0176495265
  .4350000000  .0172700766
  .4400000000  .0168949635
  .4450000000  .0165951496
  .4500000000  .0163055734
  .4550000000  .0160645426
  .4600000000  .0158472514
  .4650000000  .0156551829
  .4700000000  .0155000487
  .4750000000  .0153491786
  .4800000000  .0152489768
  .4850000000  .0151498133
  .4900000000  .0150829522
  .4950000000  .0150337671
  .5000000000  .0151984327
  .5050000000  .0150337671
  .5100000000  .0150829522
  .5150000000  .0151498133
  .5200000000  .0152489768
  .5250000000  .0153491786
  .5300000000  .0155000487
  .5350000000  .0156551829
  .5400000000  .0158472514
  .5450000000  .0160645426
  .5500000000  .0163055734
  .5550000000  .0165951496
  .5600000000  .0168949635
  .5650000000  .0172700766
  .5700000000  .0176495265
  .5750000000  .0181188660
  .5800000000  .0186018590
  .5850000000  .0191789963
  .5900000000  .0197863809
  .5950000000  .0204975698
  .6000000000  .0212545858
  .6050000000  .0221332445
  .6100000000  .0230700729
  .6150000000  .0241584200
  .6200000000  .0253107913
  .6250000000  .0266616711
  .6300000000  .0280715243
  .6350000000  .0297504076
  .6400000000  .0315037856
  .6450000000  .0335537188
  .6500000000  .0357546716
  .6550000000  .0382253441
  .6600000000  .0409827003
  .6650000000  .0439466905
  .6700000000  .0473902325
  .6750000000  .0510697445
  .6800000000  .0552123348
  .6850000000  .0598190742
  .6900000000  .0647712372
  .6950000000  .0704481541
  .7000000000  .0766391746
  .7050000000  .0833324652
  .7100000000  .0909617811
  .7150000000  .0992817291
  .7200000000  .1083133321
  .7250000000  .1183722891
  .7300000000  .1294932136
  .7350000000  .1415869321
  .7400000000  .1547472749
  .7450000000  .1693192573
  .7500000000  .1853116692
  .7550000000  .2026966493
  .7600000000  .2215958809
  .7650000000  .2421396372
  .7700000000  .2644894132
  .7750000000  .2889842160
  .7800000000  .3155437547
  .7850000000  .3443457224
  .7900000000  .3755939258
  .7950000000  .4095295196
  .8000000000  .4464474874
  .8050000000  .4867198981
  .8100000000  .5308276402
  .8150000000  .5794024627
  .8200000000  .6332811937
  .8250000000  .6935739462
  .8300000000  .7622073828
  .8350000000  .8416154732
  .8400000000  .9341655347
  .8450000000  1.043398856
  .8500000000  1.174969686
  .8550000000  1.337988729
  .8600000000  1.537327474
  .8650000000  1.789190983
  .8700000000  2.104473866
  .8750000000  2.505539039
  .8800000000  3.006498548
  .8850000000  3.646353074
  .8900000000  4.442389229
  .8950000000  5.423839320
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4990885186 -10.000
  .4990885186  10.000
  .5009114813  10.000
  .5009114813 -10.000
&
