# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  6.995273222
  .1050000000  5.727996301
  .1100000000  4.687262800
  .1150000000  3.847828997
  .1200000000  3.180090790
  .1250000000  2.649701462
  .1300000000  2.230040454
  .1350000000  1.897826506
  .1400000000  1.633585686
  .1450000000  1.421607317
  .1500000000  1.250932332
  .1550000000  1.111097463
  .1600000000  .9940325511
  .1650000000  .8954979891
  .1700000000  .8108517812
  .1750000000  .7369845878
  .1800000000  .6719088375
  .1850000000  .6138166581
  .1900000000  .5613028611
  .1950000000  .5139881225
  .2000000000  .4706588308
  .2050000000  .4308850654
  .2100000000  .3946492596
  .2150000000  .3612965715
  .2200000000  .3305843255
  .2250000000  .3023195201
  .2300000000  .2763312952
  .2350000000  .2525227353
  .2400000000  .2307403250
  .2450000000  .2107709362
  .2500000000  .1924890542
  .2550000000  .1757748231
  .2600000000  .1605135901
  .2650000000  .1465957625
  .2700000000  .1339168569
  .2750000000  .1223776454
  .2800000000  .1118843333
  .2850000000  .1023487181
  .2900000000  .0937568025
  .2950000000  .0859826943
  .3000000000  .0789357481
  .3050000000  .0725480835
  .3100000000  .0667575933
  .3150000000  .0615077366
  .3200000000  .0567472696
  .3250000000  .0525356858
  .3300000000  .0487182783
  .3350000000  .0452527815
  .3400000000  .0421052986
  .3450000000  .0392900430
  .3500000000  .0367864018
  .3550000000  .0345055217
  .3600000000  .0324269258
  .3650000000  .0305928449
  .3700000000  .0289448317
  .3750000000  .0274365868
  .3800000000  .0260845452
  .3850000000  .0248937435
  .3900000000  .0237985462
  .3950000000  .0228142787
  .4000000000  .0219518466
  .4050000000  .0211547866
  .4100000000  .0204487292
  .4150000000  .0198222841
  .4200000000  .0192410628
  .4250000000  .0187444552
  .4300000000  .0182890671
  .4350000000  .0178793321
  .4400000000  .0175270999
  .4450000000  .0171977737
  .4500000000  .0169251827
  .4550000000  .0166741048
  .4600000000  .0164592008
  .4650000000  .0162740138
  .4700000000  .0161101802
  .4750000000  .0159815491
  .4800000000  .0158636929
  .4850000000  .0157849131
  .4900000000  .0157118444
  .4950000000  .0156760806
  .5000000000  .0158472013
  .5050000000  .0156760806
  .5100000000  .0157118444
  .5150000000  .0157849131
  .5200000000  .0158636929
  .5250000000  .0159815491
  .5300000000  .0161101802
  .5350000000  .0162740138
  .5400000000  .0164592008
  .5450000000  .0166741048
  .5500000000  .0169251827
  .5550000000  .0171977737
  .5600000000  .0175270999
  .5650000000  .0178793321
  .5700000000  .0182890671
  .5750000000  .0187444552
  .5800000000  .0192410628
  .5850000000  .0198222841
  .5900000000  .0204487292
  .5950000000  .0211547866
  .6000000000  .0219518466
  .6050000000  .0228142787
  .6100000000  .0237985462
  .6150000000  .0248937435
  .6200000000  .0260845452
  .6250000000  .0274365868
  .6300000000  .0289448317
  .6350000000  .0305928449
  .6400000000  .0324269258
  .6450000000  .0345055217
  .6500000000  .0367864018
  .6550000000  .0392900430
  .6600000000  .0421052986
  .6650000000  .0452527815
  .6700000000  .0487182783
  .6750000000  .0525356858
  .6800000000  .0567472696
  .6850000000  .0615077366
  .6900000000  .0667575933
  .6950000000  .0725480835
  .7000000000  .0789357481
  .7050000000  .0859826943
  .7100000000  .0937568025
  .7150000000  .1023487181
  .7200000000  .1118843333
  .7250000000  .1223776454
  .7300000000  .1339168569
  .7350000000  .1465957625
  .7400000000  .1605135901
  .7450000000  .1757748231
  .7500000000  .1924890542
  .7550000000  .2107709362
  .7600000000  .2307403250
  .7650000000  .2525227353
  .7700000000  .2763312952
  .7750000000  .3023195201
  .7800000000  .3305843255
  .7850000000  .3612965715
  .7900000000  .3946492596
  .7950000000  .4308850654
  .8000000000  .4706588308
  .8050000000  .5139881225
  .8100000000  .5613028611
  .8150000000  .6138166581
  .8200000000  .6719088375
  .8250000000  .7369845878
  .8300000000  .8108517812
  .8350000000  .8954979891
  .8400000000  .9940325511
  .8450000000  1.111097463
  .8500000000  1.250932332
  .8550000000  1.421607317
  .8600000000  1.633585686
  .8650000000  1.897826506
  .8700000000  2.230040454
  .8750000000  2.649701462
  .8800000000  3.180090790
  .8850000000  3.847828997
  .8900000000  4.687262800
  .8950000000  5.727996301
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4992521127 -10.000
  .4992521127  10.000
  .5007478872  10.000
  .5007478872 -10.000
&
